Text	Label	Saliency	Words	Correct
...who ..vancouver .custody .chief .......sister .............the .s chief ..for .the ..	0	InputXGrad	10	1
sister of .who died .vancouver .custody .chief .......sister of a ..died .a ......the city s chief ..for defending the .involved 	0	InputXGrad	20	1
sister of man who died in vancouver .custody .chief .press ....the sister of a man .died .a violent .with police has demanded the city s chief ..for defending the .involved 	0	InputXGrad	30	1
sister of man who died in vancouver police custody slams chief .press .press .cp the sister of a man who died after a violent confrontation with police has demanded the city s chief constable resign for defending the officer involved 	0	InputXGrad	40	1
...........canadian press canadian press ..............police .............	0	Integrated_Gradient	5	1
...........canadian press canadian press ..the ........violent ..police .demanded the .......the ..	0	Integrated_Gradient	10	1
....died in .....canadian press canadian press ..the ..a ..died after a violent .with police .demanded the .s ....defending the officer .	0	Integrated_Gradient	20	1
sister of .who died in .....canadian press canadian press ..the sister of a ..died after a violent confrontation with police has demanded the .s .constable .for defending the officer involved 	0	Integrated_Gradient	30	1
sister of man who died in .police ..chief canadian press canadian press vancouver cp the sister of a man who died after a violent confrontation with police has demanded the city s chief constable resign for defending the officer involved 	0	Integrated_Gradient	40	1
..........chief .......sister of ............the ..chief .......	0	DeepLIFT	5	0
.of .who died ...custody .chief .......sister of ............the ..chief ..for ....	0	DeepLIFT	10	1
sister of man who died .vancouver .custody .chief .....cp the sister of ...died .....police .demanded the .s chief ..for defending ...	0	DeepLIFT	20	0
sister of man who died in vancouver police custody slams chief .....cp the sister of a man .died after a ..with police .demanded the .s chief ..for defending the .involved 	0	DeepLIFT	30	1
sister of man who died in vancouver police custody slams chief ...press vancouver cp the sister of a man who died after a violent confrontation with police has demanded the city s chief constable resign for defending the officer involved 	0	DeepLIFT	40	1
......vancouver police .............man .died ..................involved 	0	LIME	5	1
......vancouver police ..chief ..canadian ..cp ....man .died ...confrontation .........resign ....involved 	0	LIME	10	1
......vancouver police ..chief canadian .canadian press .cp .sister .a man who died ...confrontation ...demanded ...chief constable resign for defending ..involved 	0	LIME	20	1
.of .who ..vancouver police ..chief canadian press canadian press .cp the sister of a man who died after ..confrontation .police has demanded .city .chief constable resign for defending .officer involved 	0	LIME	30	1
.of man who died .vancouver police custody slams chief canadian press canadian press .cp the sister of a man who died after a violent confrontation with police has demanded the city s chief constable resign for defending the officer involved 	0	LIME	40	1
.............canadian press .................the .......the officer .	0	Random	5	1
.............canadian press ....of ......violent .with police ..the .......the officer involved 	0	Random	10	1
........custody slams .canadian .canadian press ..the .of a .who ..a violent .with police .demanded the ....resign .defending the officer involved 	0	Random	20	1
..man .died in vancouver .custody slams .canadian .canadian press ..the sister of a .who died .a violent confrontation with police has demanded the city .chief .resign .defending the officer involved 	0	Random	30	1
sister of man .died in vancouver .custody slams chief canadian press canadian press vancouver cp the sister of a .who died after a violent confrontation with police has demanded the city s chief constable resign for defending the officer involved 	0	Random	40	1
man sought # 36 ; 50 ##m from mc ##gree ##vey , aide ##s say ( ap ) ap - the man who claims gov . james e . mc ##gree ##vey sexually harassed him was pushing for a cash settlement of up to # 36 ; 50 million before the governor decided to announce that he was gay and had an extra ##mar ##ital affair , sources told the associated press .	0	N/A	All	N/A
man .............gov ...........settlement ........governor ......gay ..........	0	All_Attention	5	1
man .......ap ap ....gov ....harassed ......settlement .....million ..governor ..announce ...gay ..........	0	All_Attention	10	0
man sought ....aide say ap ap .man ..gov ....harassed .was pushing ..cash settlement .....million before .governor ..announce ...gay and ...affair .....	0	All_Attention	20	0
man sought ..from .aide say ap ap the man .claims gov james ..sexually harassed him was pushing ..cash settlement .....million before .governor ..announce .he .gay and ...affair sources told ..press 	0	All_Attention	30	1
man sought 36 .from mc aide say ap ap the man who claims gov james .mc sexually harassed him was pushing ..cash settlement of ..36 .million before .governor decided .announce .he was gay and had ..affair sources told .associated press 	0	All_Attention	40	0
.sought ....aide ..ap ................settlement ........governor .................	0	Last_Attention	5	1
man sought ...mc aide .ap ap ...claims ...........cash settlement ........governor .................	0	Last_Attention	10	0
man sought .50 from mc aide say ap ap ...claims gov ....harassed him ....cash settlement ........governor ..announce ...gay .....sources ..associated .	0	Last_Attention	20	1
man sought 36 50 from mc aide say ap ap the ..claims gov .e mc sexually harassed him .pushing .a cash settlement ....50 ...governor ..announce ...gay and ....sources ..associated press 	0	Last_Attention	30	1
man sought 36 50 from mc aide say ap ap the man who claims gov james e mc sexually harassed him was pushing for a cash settlement ...36 50 million before .governor ..announce ...gay and .an ..sources told .associated press 	0	Last_Attention	40	1
...50 .....ap .........................governor ...............associated press 	0	Vanilla_Gradient	5	1
man sought .50 ....ap ap ....gov ....................governor ......gay ........associated press 	0	Vanilla_Gradient	10	1
man sought 36 50 from mc aide .ap ap ....gov james ..sexually harassed .....cash settlement ........governor ......gay .....sources ..associated press 	0	Vanilla_Gradient	20	1
man sought 36 50 from mc aide say ap ap .man .claims gov james e mc sexually harassed .....cash settlement .....million ..governor ..announce ...gay ...extra affair sources told .associated press 	0	Vanilla_Gradient	30	1
man sought 36 50 from mc aide say ap ap the man .claims gov james e mc sexually harassed him .pushing ..cash settlement of ..36 50 million before the governor decided .announce ...gay ...extra affair sources told the associated press 	0	Vanilla_Gradient	40	1
.....mc ........gov ..mc .................governor ................press 	0	InputXGrad	5	1
.....mc .....man .claims gov james .mc .................governor ......gay ....affair ....press 	0	InputXGrad	10	1
man sought ...mc aide say ...man .claims gov james .mc .harassed him ...a ..........governor ..announce ..was gay ....affair ..the .press 	0	InputXGrad	20	1
man sought ...mc aide say ...man who claims gov james .mc .harassed him ...a ..of .to ..million .the governor decided .announce .he was gay and had an .affair ..the .press 	0	InputXGrad	30	1
man sought ..from mc aide say ap ..man who claims gov james .mc .harassed him .pushing for a cash .of up to 36 50 million .the governor decided to announce that he was gay and had an .affair ..the .press 	0	InputXGrad	40	1
man ..50 .....ap .........................governor ......gay ..........	0	Integrated_Gradient	5	1
man ..50 .....ap .man ......................the governor decided ....was gay ....affair .....	0	Integrated_Gradient	10	1
man ..50 from .aide .ap ap .man ..gov ......was ..a ....to ....the governor decided to ..he was gay ....affair ....press 	0	Integrated_Gradient	20	1
man ..50 from .aide say ap ap the man who .gov ......was .for a ..of up to .50 ..the governor decided to ..he was gay .had .extra affair ..the .press 	0	Integrated_Gradient	30	1
man ..50 from .aide say ap ap the man who .gov .e ...him was pushing for a ..of up to 36 50 .before the governor decided to announce that he was gay and had an extra affair ..the associated press 	0	Integrated_Gradient	40	1
.....mc ........gov ..mc .............................affair ....press 	0	DeepLIFT	5	1
.....mc .....man .claims gov james .mc .................governor ......gay ....affair ....press 	0	DeepLIFT	10	1
man sought ...mc aide say ...man .claims gov james .mc .harassed him ...a ..........governor ..announce ..was gay ....affair ..the .press 	0	DeepLIFT	20	0
man sought ...mc aide say ...man who claims gov james .mc .harassed him ...a ..of .to ..million .the governor decided .announce .he was gay and had an .affair ..the .press 	0	DeepLIFT	30	0
man sought ..from mc aide say ap ap .man who claims gov james .mc .harassed him .pushing for a cash .of up to .50 million .the governor decided to announce that he was gay and had an .affair ..the .press 	0	DeepLIFT	40	0
...50 .......man .......................governor ..announce ..........told ...	0	LIME	5	1
...50 ...say ...man ....................million ..governor ..announce ....and ...affair .told ..press 	0	LIME	10	1
...50 from ..say .ap .man ...james .......for ....up to .50 million ..governor ..announce ....and ..extra affair .told the associated press 	0	LIME	20	1
...50 from ..say .ap the man who claims gov james ..sexually harassed .was pushing for ..settlement .up to .50 million ..governor .to announce ....and ..extra affair .told the associated press 	0	LIME	30	1
man ..50 from .aide say .ap the man who claims gov james ..sexually harassed .was pushing for a .settlement of up to 36 50 million before the governor decided to announce ....and .an extra affair sources told the associated press 	0	LIME	40	1
.sought ......................a ...............he was ..........press 	0	Random	5	0
.sought .50 .......man ....e .......a .........the .decided ...he was ..........press 	0	Random	10	0
.sought .50 from mc ..ap ..man ....e ....was .for a ...up to ...before the governor decided ...he was .........associated press 	0	Random	20	1
.sought .50 from mc aide .ap ..man ....e mc sexually harassed .was pushing for a cash settlement .up to ...before the governor decided ..that he was .and had ......associated press 	0	Random	30	1
man sought .50 from mc aide .ap ..man .claims .james e mc sexually harassed .was pushing for a cash settlement of up to 36 50 .before the governor decided to announce that he was .and had .extra .sources ..associated press 	0	Random	40	0
explosions echo throughout na ##ja ##f na ##ja ##f , iraq - explosions and gunfire rattled through the city of na ##ja ##f as u . s . troops in armored vehicles and tanks rolled back into the streets here sunday , a day after the collapse of talks - and with them a temporary cease - fire - intended to end the fighting in this holy city . . .	0	N/A	All	N/A
explosions ....iraq explosions ...........troops ..................talks ................	0	All_Attention	5	1
explosions ....iraq explosions .gunfire ...city .....troops ..........here sunday ......talks ...........fighting ....	0	All_Attention	10	1
explosions .throughout ..iraq explosions .gunfire ...city ..as ..troops ..........here sunday .day after .collapse .talks and ....cease .....fighting .this holy city 	0	All_Attention	20	1
explosions .throughout na .iraq explosions .gunfire rattled ..city .na as ..troops in .vehicles and .rolled ...streets here sunday .day after .collapse .talks and with ...cease .intended ...fighting .this holy city 	0	All_Attention	30	1
explosions echo throughout na .iraq explosions .gunfire rattled through .city of na as ..troops in armored vehicles and tanks rolled ...streets here sunday .day after .collapse .talks and with them a .cease .intended .end the fighting in this holy city 	0	All_Attention	40	1
.....iraq .......................here .....................this holy city 	0	Last_Attention	5	0
.....iraq ......city .na .......and ......here sunday ......talks .............this holy city 	0	Last_Attention	10	1
explosions echo .na na iraq explosions .....city of na as ......and ......here sunday ..after ...talks and ..........fighting .this holy city 	0	Last_Attention	20	1
explosions echo throughout na na iraq explosions ....the city of na as ....armored vehicles and .....streets here sunday a day after ..of talks and with .........fighting in this holy city 	0	Last_Attention	30	1
explosions echo throughout na na iraq explosions and gunfire rattled through the city of na as u ...armored vehicles and .rolled ...streets here sunday a day after .collapse of talks and with .a .cease fire ....fighting in this holy city 	0	Last_Attention	40	1
.....iraq explosions .gunfire rattled ....................sunday .......................	0	Vanilla_Gradient	5	1
explosions echo ...iraq explosions .gunfire rattled ...................here sunday .....................holy city 	0	Vanilla_Gradient	10	1
explosions echo throughout ..iraq explosions and gunfire rattled ......u .troops .........streets here sunday ......talks and .them ....intended .....this holy city 	0	Vanilla_Gradient	20	1
explosions echo throughout ..iraq explosions and gunfire rattled through .city ..as u s troops .armored ...rolled ...streets here sunday .....of talks and .them ..cease .intended ...fighting in this holy city 	0	Vanilla_Gradient	30	1
explosions echo throughout na na iraq explosions and gunfire rattled through .city of .as u s troops .armored vehicles .tanks rolled ...streets here sunday .day after .collapse of talks and with them ..cease fire intended ...fighting in this holy city 	0	Vanilla_Gradient	40	1
explosions .....explosions and .rattled .............................with ..............	0	InputXGrad	5	1
explosions .....explosions and .rattled ...........vehicles ..rolled ..............with ....fire ....fighting in ...	0	InputXGrad	10	1
explosions .....explosions and .rattled .....as ....armored vehicles and tanks rolled ..the .here .........with them ..cease fire intended to ..fighting in ...	0	InputXGrad	20	1
explosions ..na na .explosions and gunfire rattled ..city ..as ...in armored vehicles and tanks rolled ..the .here .a ..the collapse .talks .with them ..cease fire intended to end .fighting in ...	0	InputXGrad	30	1
explosions ..na na .explosions and gunfire rattled ..city of na as ...in armored vehicles and tanks rolled back into the streets here .a day after the collapse .talks and with them .temporary cease fire intended to end the fighting in ...	0	InputXGrad	40	1
.....iraq ......city ..as ..............sunday ......................city 	0	Integrated_Gradient	5	1
.....iraq .....the city ..as ............streets .sunday ..after the ...............in ..city 	0	Integrated_Gradient	10	1
...na .iraq .....the city .na as ...in .....back into the streets .sunday ..after the ....with .a .cease ....the .in ..city 	0	Integrated_Gradient	20	0
..throughout na na iraq .and .rattled through the city .na as ...in ..and .rolled back into the streets .sunday a day after the ..talks .with .a .cease ....the .in ..city 	0	Integrated_Gradient	30	1
..throughout na na iraq .and gunfire rattled through the city of na as .s troops in ..and tanks rolled back into the streets .sunday a day after the collapse .talks and with them a .cease .intended to .the .in ..city 	0	Integrated_Gradient	40	1
.....iraq ..gunfire rattled ........troops ....tanks ..............................	0	DeepLIFT	5	1
.....iraq .and gunfire rattled ........troops .armored ..tanks ...the .................intended ....in ...	0	DeepLIFT	10	1
.....iraq .and gunfire rattled ........troops .armored vehicles and tanks rolled ..the ........of ...them .temporary cease fire intended to ..fighting in ...	0	DeepLIFT	20	1
.....iraq explosions and gunfire rattled .the .of .as ..troops in armored vehicles and tanks rolled ..the streets here ....the .of ..with them .temporary cease fire intended to end .fighting in ...	0	DeepLIFT	30	1
...na .iraq explosions and gunfire rattled .the city of .as ..troops in armored vehicles and tanks rolled ..the streets here .a day after the collapse of talks .with them a temporary cease fire intended to end the fighting in ..city 	0	DeepLIFT	40	1
..........through ....as .....vehicles ...............talks ..........the .....	0	LIME	5	0
..throughout .......through ....as .....vehicles .......here .a ...collapse .talks ..........the .in ...	0	LIME	10	0
..throughout ..iraq ....through the .of .as u ..in armored vehicles ......streets here .a .after the collapse .talks ..........the .in ..city 	0	LIME	20	1
..throughout ..iraq .and gunfire .through the .of .as u .troops in armored vehicles ..rolled .into .streets here .a day after the collapse .talks .with ....fire intended ..the .in .holy city 	0	LIME	30	1
..throughout .na iraq .and gunfire .through the city of na as u s troops in armored vehicles .tanks rolled .into the streets here .a day after the collapse .talks .with .a ..fire intended .end the fighting in this holy city 	0	LIME	40	1
.......and .rattled .the .of .................a ......................	0	Random	5	0
......explosions and .rattled .the .of ........and .rolled ......a .......with ............holy .	0	Random	10	1
......explosions and gunfire rattled .the .of na ..s ..armored .and tanks rolled .....sunday a .....talks .with ..temporary ..intended to .....holy .	0	Random	20	1
explosions ...na iraq explosions and gunfire rattled .the city of na ..s ..armored .and tanks rolled back into ...sunday a ..the .of talks .with .a temporary cease .intended to .....holy .	0	Random	30	1
explosions .throughout na na iraq explosions and gunfire rattled .the city of na ..s .in armored .and tanks rolled back into ..here sunday a day after the .of talks and with .a temporary cease .intended to .the .in this holy .	0	Random	40	1
frail pope celebrates mass at lou ##rdes lou ##rdes , france - a frail pope john paul ii , breathing heavily and gasping at times , celebrated an open - air mass on sunday for several hundred thousand pilgrims , many in wheelchair ##s , at a shrine to the virgin mary that is associated with miraculous cure ##s . at one point he said " help me " in polish while struggling through his ho ##mi ##ly in french . . .	0	N/A	All	N/A
.pope ........pope ....................pilgrims .....shrine ..virgin .......................	0	All_Attention	5	1
.pope .....france ..pope ....................pilgrims .....shrine ..virgin mary .....cure ....said ...polish .......	0	All_Attention	10	1
.pope .mass ...france ..pope ...breathing ..gasping ..celebrated ...mass .sunday ....pilgrims ..wheelchair ..shrine ..virgin mary .....cure ...he said ...polish ...his ..french 	0	All_Attention	20	1
.pope celebrates mass ...france ..pope .paul .breathing ..gasping ..celebrated ...mass .sunday for ...pilgrims ..wheelchair at .shrine ..virgin mary that ...miraculous cure ...he said help ..polish while .through his .in french 	0	All_Attention	30	1
frail pope celebrates mass at ..france ..pope john paul .breathing ..gasping ..celebrated ...mass .sunday for ..thousand pilgrims .in wheelchair at .shrine ..virgin mary that .associated .miraculous cure ...he said help me in polish while struggling through his ho in french 	0	All_Attention	40	1
.pope ........pope .paul ..................pilgrims ........virgin .......................	0	Last_Attention	5	1
.pope ........pope john paul ..................pilgrims ........virgin mary .....cure ........polish while ......	0	Last_Attention	10	1
.pope .mass at .....pope john paul ii ........open .mass .sunday ....pilgrims .....shrine .the virgin mary ....miraculous cure ........polish while .....french 	0	Last_Attention	20	1
.pope .mass at ..france ..pope john paul ii ...gasping ....open air mass .sunday ....pilgrims ..wheelchair at a shrine .the virgin mary .is ..miraculous cure at one .he ....polish while .....french 	0	Last_Attention	30	1
frail pope .mass at lou .france ..pope john paul ii breathing ..gasping ....open air mass .sunday ....pilgrims ..wheelchair at a shrine to the virgin mary that is associated with miraculous cure at one .he ....polish while ..his ho in french 	0	Last_Attention	40	1
frail ......france a frail .....................................................french 	0	Vanilla_Gradient	5	1
frail pope .....france a frail pope .paul ..................pilgrims ..............................in french 	0	Vanilla_Gradient	10	1
frail pope celebrates .at lou lou france a frail pope john paul .......celebrated ..........pilgrims .....shrine ..............said ...polish ...his .in french 	0	Vanilla_Gradient	20	0
frail pope celebrates mass at lou lou france a frail pope john paul ii ...gasping ..celebrated .....sunday ....pilgrims ..wheelchair ..shrine .............he said .me .polish while struggling .his ho in french 	0	Vanilla_Gradient	30	1
frail pope celebrates mass at lou lou france a frail pope john paul ii breathing heavily .gasping ..celebrated .....sunday ....pilgrims ..wheelchair ..shrine ..virgin mary ....miraculous cure at one point he said .me .polish while struggling through his ho in french 	0	Vanilla_Gradient	40	1
........a ..john ............................................polish ..through ..in .	0	InputXGrad	5	1
........a .pope john .........................shrine ............point .said help ..polish ..through ..in .	0	InputXGrad	10	1
.pope celebrates .at ...a .pope john .............on .....pilgrims .....shrine ...mary ....miraculous .at .point .said help .in polish .struggling through ..in .	0	InputXGrad	20	1
.pope celebrates .at ...a .pope john .ii ....at ......on .for ...pilgrims many ..at a shrine to the virgin mary that ...miraculous .at .point .said help .in polish .struggling through ..in .	0	InputXGrad	30	1
.pope celebrates .at .lou .a .pope john .ii .heavily ..at times celebrated ..air .on sunday for several ..pilgrims many ..at a shrine to the virgin mary that .associated with miraculous .at .point .said help .in polish .struggling through his .in .	0	InputXGrad	40	1
.pope .mass ...france ..pope .............mass .......................................	0	Integrated_Gradient	5	1
.pope .mass ...france ..pope .............mass .sunday ............the virgin mary .....................french 	0	Integrated_Gradient	10	1
.pope .mass at ..france a .pope john paul ..heavily ...times celebrated an ..mass on sunday ......in .....the virgin mary .....................french 	0	Integrated_Gradient	20	1
.pope .mass at ..france a .pope john paul ..heavily and .at times celebrated an ..mass on sunday for several hundred .pilgrims .in ..a .to the virgin mary ..............polish ...his ..french 	0	Integrated_Gradient	30	1
.pope .mass at ..france a .pope john paul ii .heavily and gasping at times celebrated an ..mass on sunday for several hundred thousand pilgrims many in .at a shrine to the virgin mary ...with ...one point ....in polish ...his ..french 	0	Integrated_Gradient	40	1
.....................................shrine ..............said ...polish ..through ..in .	0	DeepLIFT	5	0
........a ..john .............on ...........shrine ..............said help .in polish ..through ..in .	0	DeepLIFT	10	1
.pope ..at ...a .pope john ...........air .on .........at .shrine .......with miraculous .at .point .said help .in polish .struggling through ..in .	0	DeepLIFT	20	1
.pope celebrates .at .lou .a .pope john ........celebrated ..air .on sunday for .hundred .pilgrims ...at .shrine to the virgin ....with miraculous .at .point .said help .in polish .struggling through ..in .	0	DeepLIFT	30	1
.pope celebrates .at .lou .a frail pope john .ii breathing heavily and .at .celebrated ..air .on sunday for .hundred .pilgrims ...at a shrine to the virgin mary ..associated with miraculous .at .point .said help .in polish .struggling through .ho in .	0	DeepLIFT	40	1
................and ..............pilgrims ..wheelchair ......mary .................through ....	0	LIME	5	0
........a .......and ..............pilgrims ..wheelchair ......mary .is ....at .....me ..while .through ....	0	LIME	10	0
.......france a .......and gasping at .......sunday ...thousand pilgrims ..wheelchair ....the .mary .is associated with miraculous .at ...said .me ..while .through ....	0	LIME	20	1
.pope ...lou .france a .pope .paul ii breathing .and gasping at .......sunday ...thousand pilgrims .in wheelchair ...to the virgin mary .is associated with miraculous .at ...said .me .polish while .through ....	0	LIME	30	1
.pope celebrates ..lou .france a .pope john paul ii breathing .and gasping at times .an ....sunday ..hundred thousand pilgrims .in wheelchair at .shrine to the virgin mary .is associated with miraculous .at ...said .me in polish while struggling through ..in .	0	LIME	40	1
..............breathing heavily .....................shrine to ..................while ......	0	Random	5	0
.............ii breathing heavily .................in ..a shrine to .......miraculous cure .........while ......	0	Random	10	0
.............ii breathing heavily ..at ..an ...........in wheelchair .a shrine to .virgin .that is ..miraculous cure .one .he .....while ....in french 	0	Random	20	0
.............ii breathing heavily ..at .celebrated an open ........pilgrims .in wheelchair at a shrine to .virgin .that is associated .miraculous cure .one .he .help me ..while struggling .his ho in french 	0	Random	30	1
..celebrates .at lou .france a ....ii breathing heavily ..at .celebrated an open .......thousand pilgrims many in wheelchair at a shrine to the virgin .that is associated .miraculous cure .one .he .help me in polish while struggling .his ho in french 	0	Random	40	1
1994 law designed to preserve guard jobs ( ap ) ap - a 1994 law strengthened job protections for national guard and reserve troops called to active duty . here are major provisions of the uniformed services employment and re ##em ##pl ##oy ##ment rights act ( user ##ra ) .	0	N/A	All	N/A
.............job ......troops ..........uniformed .employment ...act .	0	All_Attention	5	1
.law ......ap ..law .job ..national guard ..troops ..........uniformed .employment ...act .	0	All_Attention	10	0
1994 law ...guard jobs ap ap .1994 law .job protections .national guard ..troops ....here ..provisions ..uniformed services employment ...act user 	0	All_Attention	20	1
1994 law designed .preserve guard jobs ap ap .1994 law strengthened job protections for national guard .reserve troops called ..duty here ..provisions .the uniformed services employment and .rights act user 	0	All_Attention	30	1
1994 law designed to preserve guard jobs ap ap a 1994 law strengthened job protections for national guard and reserve troops called to active duty here are major provisions of the uniformed services employment and re rights act user 	0	All_Attention	40	1
.......ap ap ....job ..national .....................user 	0	Last_Attention	5	0
1994 ....guard .ap ap ....job ..national ..............uniformed services employment ....user 	0	Last_Attention	10	1
1994 ...preserve guard jobs ap ap .1994 ..job .for national guard ..troops ...duty ......uniformed services employment and re rights .user 	0	Last_Attention	20	1
1994 law designed .preserve guard jobs ap ap a 1994 law strengthened job protections for national guard and reserve troops ..active duty ......uniformed services employment and re rights act user 	0	Last_Attention	30	1
1994 law designed to preserve guard jobs ap ap a 1994 law strengthened job protections for national guard and reserve troops called to active duty here are major provisions of the uniformed services employment and re rights act user 	0	Last_Attention	40	1
.......ap ap ...........troops ..........uniformed .employment .....	0	Vanilla_Gradient	5	1
......jobs ap ap ....job protections ..guard ..troops ..........uniformed .employment ....user 	0	Vanilla_Gradient	10	0
.law designed .preserve guard jobs ap ap ..law strengthened job protections .national guard ..troops ...duty ...provisions ..uniformed services employment ....user 	0	Vanilla_Gradient	20	1
1994 law designed .preserve guard jobs ap ap a 1994 law strengthened job protections .national guard .reserve troops ..active duty here .major provisions .the uniformed services employment ..rights act user 	0	Vanilla_Gradient	30	1
1994 law designed to preserve guard jobs ap ap a 1994 law strengthened job protections for national guard and reserve troops called to active duty here are major provisions of the uniformed services employment and re rights act user 	0	Vanilla_Gradient	40	1
.law .........law strengthened .......troops .......provisions ..........	0	InputXGrad	5	1
.law ...guard .....law strengthened ...national ...troops .to .....provisions ...services .and ....	0	InputXGrad	10	1
.law .to .guard ...a .law strengthened ...national .and .troops called to ..here are major provisions .the uniformed services .and .rights ..	0	InputXGrad	20	1
1994 law designed to .guard jobs ..a 1994 law strengthened ..for national guard and reserve troops called to active .here are major provisions of the uniformed services .and re rights ..	0	InputXGrad	30	1
1994 law designed to preserve guard jobs ap ap a 1994 law strengthened job protections for national guard and reserve troops called to active duty here are major provisions of the uniformed services employment and re rights act user 	0	InputXGrad	40	1
.law ......ap ..law ........troops .........the ........	0	Integrated_Gradient	5	1
.law .to ....ap a .law .....guard ..troops .to .......the uniformed .......	0	Integrated_Gradient	10	1
.law .to .guard ..ap a .law strengthened ..for national guard and .troops .to ...are .provisions of the uniformed ..and re ...	0	Integrated_Gradient	20	1
.law designed to .guard .ap ap a .law strengthened ..for national guard and reserve troops called to active .here are major provisions of the uniformed ..and re rights act user 	0	Integrated_Gradient	30	1
1994 law designed to preserve guard jobs ap ap a 1994 law strengthened job protections for national guard and reserve troops called to active duty here are major provisions of the uniformed services employment and re rights act user 	0	Integrated_Gradient	40	1
.law .........law strengthened .......troops .......provisions ..........	0	DeepLIFT	5	1
.law ...guard .....law strengthened ...national ...troops .to .....provisions ...services .and ....	0	DeepLIFT	10	0
1994 law .to .guard ...a .law strengthened ...national .and .troops called to ..here are .provisions .the uniformed services .and .rights ..	0	DeepLIFT	20	1
1994 law designed to .guard jobs ..a 1994 law strengthened ..for national .and reserve troops called to active .here are major provisions of the uniformed services .and re rights act .	0	DeepLIFT	30	0
1994 law designed to preserve guard jobs ap ap a 1994 law strengthened job protections for national guard and reserve troops called to active duty here are major provisions of the uniformed services employment and re rights act user 	0	DeepLIFT	40	1
....preserve .....1994 ...................the .services .....user 	0	LIME	5	0
...to preserve ...ap .1994 .........troops ...duty .are ...the .services .....user 	0	LIME	10	1
.law designed to preserve ...ap a 1994 ...protections .national ...troops called to .duty .are major ..the .services .and re ..user 	0	LIME	20	1
.law designed to preserve .jobs ap ap a 1994 .strengthened job protections for national guard and .troops called to .duty here are major ..the uniformed services .and re rights .user 	0	LIME	30	1
1994 law designed to preserve guard jobs ap ap a 1994 law strengthened job protections for national guard and reserve troops called to active duty here are major provisions of the uniformed services employment and re rights act user 	0	LIME	40	1
...to ......1994 ...........to ......of .......act .	0	Random	5	0
1994 ..to ...ap ..1994 ...........to ....major .of ..services ..re .act .	0	Random	10	0
1994 ..to preserve ..ap ap a 1994 law ..protections ...and .troops .to active duty ..major .of ..services ..re .act user 	0	Random	20	1
1994 law .to preserve guard jobs ap ap a 1994 law .job protections .national guard and reserve troops .to active duty here .major .of the .services ..re rights act user 	0	Random	30	0
1994 law designed to preserve guard jobs ap ap a 1994 law strengthened job protections for national guard and reserve troops called to active duty here are major provisions of the uniformed services employment and re rights act user 	0	Random	40	1
iran warns its missiles can hit anywhere in israel tehran ( reuters ) - a senior iranian military official said sunday israel and the united states would not dare attack iran since it could strike back anywhere in israel with its latest missiles , news agencies reported .	0	N/A	All	N/A
iran ..missiles .........iranian ....israel ........iran ...............	0	All_Attention	5	1
iran ..missiles ....israel tehran ...iranian ..said .israel ........iran .......israel ...missiles ...	0	All_Attention	10	1
iran warns .missiles .hit anywhere .israel tehran ...iranian military .said sunday israel and ......attack iran since ..strike .anywhere .israel ...missiles ...	0	All_Attention	20	1
