Text	Label	Saliency	Words	Correct
..appears ..an expose .the ..............are .........producer ..........priced ...................to .this ...........$ ...for an .wine ..others ...as ............concerns .both ..don ............good ..............with giants ......mcdonald ...malls .almost ind from ..and ....as .............definitely ..and ..............	0	LIME	30	0
..appears ..an expose .the .......the ......are .........producer ...case of .....priced .................and .to .this .a .........$ .or .for an .wine ..others ...as ............concerns .both ..don ............good ..............with giants ...an ..mcdonald ...malls .almost ind from ..and ....as .........little ...definitely ..and .to ......with .....	0	LIME	40	0
.....an ............................mon ....................................................................understand .concerns ................................with .......................................................	0	Random	5	0
.....an ............................mon ................................................................disappearing ...understand .concerns ...and .......................what ....with ..........................away ....of .......................	0	Random	10	1
...to .an ....trend ..and ...............large ....mon ...................................thing ............................disappearing ...understand .concerns of ..and don ......................what ..with .with ..........................away ....of ..........to ......with .....	0	Random	20	1
...to .an ....trend ..and .........are .and ...large ....mon ..............make ..............to .....thing ....................horrible .......disappearing ...understand .concerns of ..and don .think ....................what ..with .with ..........................away ....of ....i ..ready ..to listen ..film ..with .....	0	Random	30	1
...to .an ....trend ..and ....industry ....are .and ...large ....mon ..case ..film .......them make ..............to .....thing .................others ..horrible .......disappearing ...understand .concerns of ..and don .think there ..villain ................what ..with .with ............are .......stores .wal ...away ....of ....i ..ready ..to listen ..film ..with .....	0	Random	40	0
did bea ##vis and butt ##head make this movie ? it is just that bad . truly an uneven and unfair portrayal of " bad " vs . " good " in the wine world . did you notice the filmmaker trying any of the wines from the featured protector ##s of individual wines and ter ##roi ##r . the camera work is dizzy ##ing at best while the content may put you to sleep before long . this is not insight ##ful journalism . what i got from this movie was that the filmmaker was trying hard to make a point about the global ##ism of wine by showing , for example , that the mon ##dav ##i family owned wine ##ries in all parts of the world . okay , that is a good start . so , how do these wines compare ? does the mon ##dav ##i nap ##a cab taste like their italian wines . we never find out because no one in the film comments on this . instead , there is a lot of inn ##uen ##do about nazi ' s and fascism . well , those things don ' t grow grapes . hmm ##mm .	0	N/A	All	N/A
...........bad ..uneven .unfair ...vs .............................................journalism .............................................................................................	0	All_Attention	5	1
...........bad ..uneven .unfair portrayal ..vs ...............................while .............journalism ...................global ...showing .........................................................nazi ...........	0	All_Attention	10	1
did ..........bad truly .uneven .unfair portrayal ..vs ..........trying ................is ..best while .............journalism .........filmmaker .........global ...showing .example ............okay ..........compare ....................comments ..........nazi ...........	0	All_Attention	20	1
did ...make ......bad truly .uneven .unfair portrayal ..vs .......notice ..trying ...wines ............is dizzy .best while ......sleep ......journalism .........filmmaker .........global .wine .showing .example ....owned .......okay ....start .....compare .....taste ..............comments ..........nazi ..fascism ........	0	All_Attention	30	1
did ...make .....that bad truly .uneven .unfair portrayal ..vs ......you notice .filmmaker trying ...wines ..featured ......the ..is dizzy .best while ..may ...sleep ......journalism ..got ......filmmaker .........global .wine .showing .example ....owned .......okay ....start .....compare .....taste .their ...never ........comments ......lot ...nazi ..fascism ........	0	All_Attention	40	1
.............an uneven .unfair ............................the .........................this ........................................................................................	0	Last_Attention	5	1
.....this ..is ...truly an uneven and unfair ............................the .........................this ......................................................................is .................	0	Last_Attention	10	1
.....this .it is just that bad truly an uneven and unfair ............................the ..is ....the ........this .not ......this .....................................................................there is a ................	0	Last_Attention	20	1
....make this .it is just that bad truly an uneven and unfair portrayal ...........................the .work is ..best .the ........this is not .journalism ....this ................................................nap ..............the .....there is a lot of ..............	0	Last_Attention	30	1
did ...make this .it is just that bad truly an uneven and unfair portrayal ......wine ....the .............and .the .work is ..best .the ........this is not .journalism ....this ................wine ............................does ..nap ..............the ...this .there is a lot of ..nazi ..fascism ......grapes .	0	Last_Attention	40	1
...........bad ..uneven .unfair ................................................insight .............................................................................................hmm 	0	Vanilla_Gradient	5	1
...........bad truly .uneven .unfair portrayal ...............................................insight journalism ...............................................................................inn .nazi ..........hmm 	0	Vanilla_Gradient	10	1
........is just that bad truly an uneven and unfair portrayal ...............................dizzy ...............insight journalism ...........................................start so ............................instead .....inn .nazi ..fascism .......hmm 	0	Vanilla_Gradient	20	1
did bea ..make .movie .is just that bad truly an uneven and unfair portrayal ..vs .......notice .................camera ..dizzy ...............insight journalism ..........................................good start so ............................instead ...lot .inn about nazi ..fascism .......hmm 	0	Vanilla_Gradient	30	1
did bea ..make this movie it is just that bad truly an uneven and unfair portrayal .bad vs .....did .notice .filmmaker ....wines ..........camera ..dizzy .........sleep ....not insight journalism ..........................................good start so .........................comments ..instead ...lot .inn about nazi ..fascism ......grapes hmm 	0	Vanilla_Gradient	40	1
..........that .truly .................................camera ...................................................................................................inn ............hmm 	0	InputXGrad	5	1
......movie ...that .truly ..and ..of ...........filmmaker ...............camera ...................................................................................out ...............inn ............hmm 	0	InputXGrad	10	0
....make .movie ...that .truly ..and unfair portrayal of ...........filmmaker ...............camera work .dizzy .best ..........this is ..................................................................out ........this instead .....inn ............hmm 	0	InputXGrad	20	1
....make .movie ...that bad truly ..and unfair portrayal of ...........filmmaker trying ..the ..the ...individual ....camera work .dizzy .best ..........this is ......from .................................................nap ..like ......out ......comments .this instead .....inn .........t ..hmm 	0	InputXGrad	30	0
did ...make this movie ..just that bad truly ..and unfair portrayal of ......world .you ..filmmaker trying ..the ..the ...individual ....camera work .dizzy .best ......to ...this is ......from .................................................nap ..like ...we ..out ......comments .this instead .....inn ..s ...those things .t ..hmm 	0	InputXGrad	40	1
.........just .bad truly ......bad ...............................................................................................wines ............................................	0	Integrated_Gradient	5	1
.........just .bad truly ......bad ............................................not insight ...........was .....point ...............................wines ..........wines .................................	0	Integrated_Gradient	10	1
.........just .bad truly ......bad ..................................content .put .....this .not insight .......was ...was trying .to ..point ...............................wines ..........wines ..........comments ..instead ....of inn .............	0	Integrated_Gradient	20	1
.........just .bad truly ..and ..of bad ..........................camera .......content .put .....this .not insight ....from this .was that ..was trying hard to ..point about .....showing for .......................wines ..........wines ..........comments ..instead ....of inn .............	0	Integrated_Gradient	30	1
.........just .bad truly ..and ..of bad ............any ..wines ....of ...ter .camera .......content .put .....this .not insight ....from this .was that ..was trying hard to make .point about ..of ..showing for .that ........of ............wines ..........wines .......in ..comments ..instead ....of inn about ............	0	Integrated_Gradient	40	1
..........that ...................filmmaker ...............camera ...................................................................................................inn ............hmm 	0	DeepLIFT	5	0
......movie ...that .truly ..and ..of ...........filmmaker ...............camera ...................................................................................out ...............inn ............hmm 	0	DeepLIFT	10	0
....make .movie ...that bad truly ..and ..of ...........filmmaker ...............camera work .dizzy .best ..........this is ......from ...........................................................out ......comments ..instead .....inn ............hmm 	0	DeepLIFT	20	1
....make .movie ...that bad truly ..and ..of ........you ..filmmaker ...the ..the ...individual ....camera work .dizzy .best ......to ...this is ......from .....filmmaker ..................mon ...............so .............italian ....out ......comments .this instead .....inn ............hmm 	0	DeepLIFT	30	1
....make .movie ...that bad truly ..and ..of ........you ..filmmaker trying ..the ..the ...individual ....camera work .dizzy .best ......to ...this is ......from ....the filmmaker ..................mon ...............so ...........like their italian .we ..out because .....comments .this instead .....inn ...and fascism .those things ....hmm 	0	DeepLIFT	40	1
.............an ................................camera .....while ..may ...........................point ............................................................................	0	LIME	5	0
.............an ................................camera .....while ..may ...sleep .............was .......make .point .........................................italian .............this ....................	0	LIME	10	0
..........that ..an ......vs ........the ................camera .is ...while ..may ...sleep before ............was .the .....make .point .........that ............that ......do ...........italian .........the ...this ....................	0	LIME	20	1
....make .....that ..an ......vs ........the filmmaker .............ter .camera work is ...while ..may ...sleep before ............was .the ...hard .make .point about ....by ..example that ............that .....how do ...........italian wines ........the ...this ....................	0	LIME	30	0
....make .....that ..an ......vs ........the filmmaker ......the ......ter .camera work is ...while ..may ...sleep before .......i ....was .the ...hard .make a point about .global of .by ..example that ....wine .....world .that .....how do ....the ......italian wines ......one .the ...this ...........fascism ........	0	LIME	40	0
.........................................................................was ..filmmaker ......................in ...................................................fascism .those ......	0	Random	5	0
...........................you .the ...of .........and ..........................from ..was ..filmmaker ......................in ...................................................fascism .those ......	0	Random	10	0
.bea .....................the ...you .the ...of ........wines and ..camera ......the .........is ......from ..was ..filmmaker .................the ....in ........................their ......because ...............about ...fascism .those ......	0	Random	20	1
did bea .....it .just ......unfair portrayal .....the ...you .the ...of ........wines and ..camera ......the .........is ......from ..was ..filmmaker .................the ....in ...............wines ........their ......because ..in ............about .s .fascism .those things ...grapes .	0	Random	30	1
did bea ...this .it .just ......unfair portrayal .....the ...you .the ...of ........wines and ter .camera ....best while the .........is ......from ..was .the filmmaker .................the ....in .....okay .........wines ........their ..we never find .because ..in ..comments .........about .s .fascism .those things ...grapes .	0	Random	40	1
i do not understand at all why this movie received such good grades from critics - - i ' ve seen tens of documentaries ( on tv ) about the wine world which were much much better when ( if ) you watch it , please think of two very annoying aspects of mon ##do ##vino : first , the filming is just awful and terrible and upset ##ting : to me , it looked like the guy behind the camera just received the material and was playing with it : plenty of zoom ##s ( for no purpose other than pushing the button in / out ) for instance - - i almost stopped to watch it because of that ! secondly , the interview ##er ( the director i think ) is not really relevant : he looks like and ask questions like a boy scout , not like a journalist , even if the general idea and themes would have been interesting , too bad conclusion : over ##rated documentary , maybe only for guys who do not know nothing about wine = > not recommended at all ( 2 / 10 )	0	N/A	All	N/A
....................documentaries .....................annoying .....filming ..awful .....................................................................................................recommended ....	0	All_Attention	5	1
....................documentaries ....wine ......when .........annoying .....filming ..awful .terrible .......................zoom .............................................................documentary .............recommended ....	0	All_Attention	10	1
............grades .critics ...tens .documentaries ....wine ......when .........annoying .....filming is .awful .terrible .....looked ...............plenty .zoom .......................interview .....................................documentary ...guys ......wine .not recommended ....	0	All_Attention	20	1
...understand ........grades .critics ...tens .documentaries ....wine .which ...better when ....please ....annoying ....the filming is just awful .terrible .upset ...looked ..guy ............plenty .zoom .....................secondly .interview .........looks ...........................documentary ...guys ......wine .not recommended ....	0	All_Attention	30	1
...understand ....movie ...grades .critics ..seen tens .documentaries ....wine .which ...better when if ...please ..two .annoying ....the filming is just awful .terrible .upset ...looked ..guy ......material ..playing ..plenty .zoom .....................secondly .interview .....not ...looks ...questions .....................conclusion .documentary ...guys ......wine = not recommended ....	0	All_Attention	40	1
...............................................the .is .awful .terrible .upset ......................................................................................................	0	Last_Attention	5	1
.......this ....................................of ..the filming is just awful .terrible .upset .................................................................................................recommended ....	0	Last_Attention	10	1
.......this movie ................wine ..................of ..the filming is just awful and terrible and upset ..it ................plenty .......................................questions .....................conclusion over documentary .............recommended ....	0	Last_Attention	20	1
..not ....this movie ................wine ..........it .....annoying aspects of ..the filming is just awful and terrible and upset ..it ................plenty ........the ......................not .....and .questions .....................conclusion over documentary maybe .........wine .not recommended ....	0	Last_Attention	30	1
..not ....this movie ................wine ..........it .....annoying aspects of ..the filming is just awful and terrible and upset .me it ................plenty of zoom ......the .....i ....it ...........not .....and ask questions ...................too bad conclusion over documentary maybe .........wine = not recommended ...10 	0	Last_Attention	40	1
..........................................annoying .....filming ..awful ....................................................................................................not recommended ....	0	Vanilla_Gradient	5	1
.........................wine ................annoying .....filming ..awful .terrible ...................................................................................conclusion over .............not recommended at ...	0	Vanilla_Gradient	10	1
....................documentaries ....wine ................annoying aspects .mon ..filming .just awful .terrible .upset .................................................................................conclusion over documentary ..........wine = not recommended at all .10 	0	Vanilla_Gradient	20	1
............grades .critics ...tens .documentaries ....wine ..............two .annoying aspects .mon ..filming is just awful and terrible .upset .....................zoom .....................secondly .....................................conclusion over documentary maybe .........wine = not recommended at all 2 10 	0	Vanilla_Gradient	30	1
........movie ...grades .critics ...tens .documentaries ....wine ...........please ..two .annoying aspects .mon .the filming is just awful and terrible .upset .....................zoom ...........instance .........secondly .........relevant .........scout ...journalist ......themes ....too .conclusion over documentary maybe ..guys ......wine = not recommended at all 2 10 	0	Vanilla_Gradient	40	1
.............................................mon .....................................................secondly ....................................................not .at all ..	0	InputXGrad	5	1
.........................wine ...................mon ..............................................stopped ......secondly ...................scout ...................documentary ............not .at all .10 	0	InputXGrad	10	0
..........such ...........tv ..wine ...........please ......of mon .....awful and terrible ...........camera ..........................stopped ......secondly ...................scout ...............too ...documentary ........nothing ...not .at all .10 	0	InputXGrad	20	1
..........such ...........tv ..wine ......when ....please .of ....of mon .....awful and terrible ...........camera .......................instance ..stopped ...because ..secondly the interview .......relevant .........scout .............been .too ...documentary maybe only ......nothing ...not .at all .10 	0	InputXGrad	30	1
...understand ......such ...........tv about the wine ......when .you ..please think of ..annoying aspects of mon .....awful and terrible ...........camera .......................instance ..stopped ...because ..secondly the interview the ......relevant .........scout .......general ....have been .too ...documentary maybe only ......nothing ...not .at all .10 	0	InputXGrad	40	1
...........................................................looked ......just ............no ............stopped ............................................................recommended ....	0	Integrated_Gradient	5	0
..................................................just ..terrible .....looked ......just ..material .........no ............stopped ...because ......director .................................................recommended ....	0	Integrated_Gradient	10	1
............grades ..................better ..................just ..terrible .....looked ......just ..material .was .......no ..than .........stopped ...because ......director ....really relevant .........scout ...........would ..interesting ..................recommended at ...	0	Integrated_Gradient	20	0
.do .understand .all ......grades ............wine .....better ..........annoying .......just ..terrible .....looked .....camera just ..material .was .......no ..than .........stopped ...because ......director ....really relevant .looks .......scout .......general ...would ..interesting ...over ...for ..........recommended at ...	0	Integrated_Gradient	30	0
.do not understand .all ......grades ............wine ...much much better .if ........annoying .......just ..terrible .upset ...looked like ....camera just ..material .was .......no ..than pushing .......almost stopped ...because ......director ....really relevant .looks .......scout ....even ..general idea ..would ..interesting ...over ...for ..........recommended at ...	0	Integrated_Gradient	40	1
.............................................mon .....................................................secondly ....................................................not .at all ..	0	DeepLIFT	5	1
......................tv ..wine ...................mon ..............................................stopped ......secondly ...................scout ............................nothing ...not .at all ..	0	DeepLIFT	10	0
..........such ...........tv ..wine ...........please .....aspects of mon .......terrible ......................................stopped ......secondly the interview .................scout ...............too ...documentary ........nothing ...not recommended at all ..	0	DeepLIFT	20	1
..........such ...........tv about .wine ...........please think of ..annoying aspects of mon .......terrible .....................plenty ................stopped ...because ..secondly the interview the ......relevant .........scout ...............too ...documentary maybe only ......nothing ...not recommended at all ..	0	DeepLIFT	30	1
..........such ...........tv about .wine ........you ..please think of ..annoying aspects of mon .....awful and terrible .................was ...plenty .........button ...instance ..stopped ...because ..secondly the interview the ......relevant ...and .....scout .......general .....been .too ...documentary maybe only ......nothing ...not recommended at all .10 	0	DeepLIFT	40	1
...............................better .........very .....................................no purpose ....button ........................................................................	0	LIME	5	0
...............................better .........very .....................................no purpose ..pushing .button .........................................general .............only ...do not ...........	0	LIME	10	0
.......this ...............about .......better .if ....think ..very ............................and ........no purpose ..pushing .button .....almost ...............not ...looks ...............general ........bad ....only ...do not ......recommended ....	0	LIME	20	0
i ....all .this ...............about .......better .if ....think .two very .........awful ...........behind ....the .and ........no purpose ..pushing .button .....almost ........the ...i ..not ...looks ..ask .........even ..general ........bad ....only ...do not ......recommended ....	0	LIME	30	1
i ....all .this .......i .......about .wine .....better .if ....think .two very .........awful ...........behind .camera ..the .and ........no purpose ..pushing .button .....almost .....of ..the ...i ..not ...looks ..ask ......like ..even if .general .and ....interesting .bad .over .maybe only ...do not ......recommended ....	0	LIME	40	1
..................tens ..................................................................button ..................................................bad ...........nothing .wine .......	0	Random	5	1
....at .............tens ..............................................................other than .the button ..........because .......................................bad ...........nothing .wine .......	0	Random	10	1
....at ........from ....tens ...........much ..............mon ...........................with .......other than .the button ..........because ........think ......................idea ....been ..bad conclusion over .maybe .......nothing .wine .......	0	Random	20	1
....at ........from ....tens ...........much better ........two ....mon ...........................with .......other than .the button ....i .....because ....interview ..i think .not ..he .........not ......general idea ....been ..bad conclusion over .maybe .......nothing .wine ...at ...	0	Random	30	1
...understand at ........from ....tens ......wine ....much better ........two ....mon .................behind .........with .......other than .the button ..for .i .....because ....interview ..i think .not ..he .........not ..journalist ...general idea .themes ..been ..bad conclusion over .maybe .for guys .do not .nothing .wine ...at ...	0	Random	40	1
the film is annoying . < br / > < br / > technically , there are too many times you see un ##fo ##cus ##ed and very roughly edited scenes . one could easily get a cleaner film using a decent amateur camera and 100 $ video editing software . down to earth , man on the street doesn ' t mean sloppy editing . un ##fo ##cus ##ed scenes that don ' t contain important statement should have been deleted . the same goes for making sure that the object ' s head / hand / others stay in the frame . my 8 years old son knows that by now . < br / > < br / > the film is way too long . the main point ( anti globalization ) is understood after 30 minutes , why bother with all the rest . after the interview with james suck ##ling i pressed the " stop " button . what a waist of time . < br / > < br / > the main theme just doesn ' t work for me anymore . i ' ve seen too many small wine ##ries which produce med ##io ##cre , commercial ##ized wines and many big wine ##ries that produce great and unique wines . the movie identifies the small producers as the ones that are producing wines with more identity , or ter ##roi ##r . the bigger ones are accused of producing " international ##ized " or " commercial ##ized " wines . the film is trying to make a black and white statement in a world full of gray tones . however , the movie hasn ' t proved this claim . they look at a couple of sporadic examples , " tie " some of the big producers ( fresco ##baldi ) with fascism and provided " interviews " with key people . well , did all the small producers spent wwii in the resistance ? is it relevant to see that parker has a thing with bulldogs ? the movie is very mani ##pu ##lative and un ##con ##vin ##cing .	0	N/A	All	N/A
...annoying ..technically ...............................................................object .............................globalization ......................what .................................................................	0	All_Attention	5	1
...annoying ..technically ...............................................................object ........my ...............long ....globalization .....why ................what ........................................identifies ...................accused ....	0	All_Attention	10	1
...annoying ..technically ..................cleaner ...................................deleted ........object ........my ....knows ......film ...long ....globalization .understood ...why ...........i ....what ........theme ..........too .................wines ..identifies .........wines .........accused ....	0	All_Attention	20	1
...annoying ..technically ....times .............cleaner .....................mean ..........should ..deleted ........object ........my ...son knows ......film ...long ....globalization .understood ...why .....after .....i ....what ........theme just ........seen too .......wines .........wines .movie identifies .........wines ..identity ......accused ....	0	All_Attention	30	1
...annoying ..technically ....times .............cleaner ........$ .....earth man .....mean ...scenes ......should ..deleted ........object .......frame my ...son knows ......film ...long ....globalization .understood ...why .....after .interview ...i pressed ...what .waist ......theme just doesn ...me ...seen too .......wines .........wines .movie identifies .........wines ..identity ......accused ....	0	All_Attention	40	1
the film is annoying .......................................................................................................................what .................................................................	0	Last_Attention	5	1
the film is annoying ......................................................................................the film .way ...............all .............what .........just .......................................................	0	Last_Attention	10	1
the film is annoying ...........and ..........................................................................the film .way .long ............with all the rest ........the ..what a .of ...the ..just ....me ..................................................	0	Last_Attention	20	1
the film is annoying ...........and ..........................................................................the film is way too long ..........why bother with all the rest ........the ..what a .of time ..the main .just doesn ...me .......................................or ..bigger .....international .	0	Last_Attention	30	1
the film is annoying ...........and .........cleaner ......and .$ .......................................................the film is way too long ...anti ......why bother with all the rest ......i pressed the ..what a waist of time ..the main .just doesn t ..me ....too ..................the ...............or ..bigger .....international .	0	Last_Attention	40	1
...annoying ..technically .......................................................................................too long .............................waist ...............................................................	0	Vanilla_Gradient	5	1
...annoying ..technically ......................................................................................way too long ....globalization ........................waist ........doesn .work ..anymore .................................................	0	Vanilla_Gradient	10	1
.film is annoying ..technically ..................cleaner .................................................................film is way too long ....globalization .....why bother ...............what .waist .time .....just doesn .work ..anymore .................................................	0	Vanilla_Gradient	20	1
the film is annoying ..technically ..........roughly ....easily ..cleaner .................................................................film is way too long ...anti globalization .understood ...why bother ......interview ........what .waist of time ....theme just doesn t work for .anymore .................................................	0	Vanilla_Gradient	30	1
